Gene,Number of connections,Connected genes
AC131056.3,115,GPSM2 RAPGEFL1 RP11-710C12.1 AC005336.5 RNF165 ARHGAP8 ANKRD66 UBE2O CCIN ELF1 COL9A1 RCC2 CAST F12 C4orf36 SLC9B2 SOX8 RP11-863K10.4 LINC01089 SYNPO MRPL12 NAALADL2 FOXN1 CTC-429L19.3 GOLGA6L9 C2orf49 SETD6 CMC1 NOP14-AS1 BLM VIPR2 LAD1 PLEKHD1 MRPL14 GABRB3 ZNF292 FRS3 EPS8L1 RFPL4AP6 BEX4 EML1 AC010976.2 AC002117.1 RP11-112J3.16 RP11-166B2.3 UBAP2 RP3-375P9.2 HS6ST2 NDUFAF3 SNX27 FGFR1OP RP11-268G12.3 MYB RP11-849H4.2 AP4B1-AS1 ACP5 NKX3-2 RP11-445L6.3 GATA4 CDK11A RP11-291B21.2 RP5-1000K24.2 LHX9 SPATA33 FTH1P5 PPIAP31 IGHV3-66 SURF1 TRPC7-AS1 STYX ZGPAT NIPAL2 AP004372.1 CTD-2139B15.1 DSG2 MARCH5 ZMYM4 PSORS1C3 NIT1 PI4KAP2 RPL5P29 DLGAP4-AS1 RP11-1E11.1 BSN-AS2 RP11-73M18.10 GALE HDHD2 TOMM20L RP11-809N8.5 PLOD1 VNN1 RP11-701H24.4 RP11-739N20.2 AC005702.1 RP11-11N7.5 CH17-472G23.4 AC008074.4 UNG AC007750.5 ZNF23 USP45 PCDHGA2 SCN8A IGKC RPUSD3 PDZK1IP1 SIK2 GPC3 ANKRD13C ZNF710 ASAP3 CTDNEP1 CD27-AS1 COG4 PRDX6 
TUBB4B,113,RAPGEFL1 TBX5 RGL2 MIR143HG AC005336.5 TMEM47 RP11-800A3.4 PTPRZ1 NCMAP SLC26A1 ANKRD66 DNAH14 BEST1 RP11-190C22.8 NKIRAS1 AC006277.3 SLC25A4 PRDX4 TBXA2R RP11-574F21.2 AC005387.3 SLC9B2 DPH7 MEF2C SOX8 PBXIP1 LARP1 ITM2C MRPL12 AP5Z1 AGPAT6 AC087491.2 CTD-2280E9.1 PLEKHD1 RP5-1148A21.3 RP11-266K4.9 ZNF292 SACS DOC2GP FAM87A AC010976.2 MEIG1 AHNAK SERPINB6 CHODL RP11-658F2.8 CTD-2283N19.1 CEMIP RP11-250B2.3 SERPINA11 LPAR4 VPS28 NBEAP1 RP11-460I13.6 NKX2-1 SCG2 AP003068.18 SPR AC004932.1 ARSE ELOF1 AC003003.5 KHSRP ZBBX FAM20C TRGVA PTPRN RP11-291B21.2 ELP5 TET2 ZKSCAN3 RP11-149I23.3 SLC39A10 KLF7-IT1 ESRRAP2 SAMSN1 CCNT2 AP001476.2 RP3-370M22.8 PI4KAP2 AC079776.2 GALE CPLX2 NRP1 BNIP3P11 RP5-881P19.7 RP11-324I22.3 RP11-809N8.5 MIR503HG VNN1 HLA-DOB NAF1 AC007750.5 FCER1G C5orf56 MED9 PCDHGA7 TMEM26 CST1 CDC42SE2 BMP8B RPUSD3 RGS19 TRIM33 RAB10 AAMDC DRAM2 TMCC1 SLC25A16 HOXA10 TM9SF2 GNS PRDX6 
TRAF3IP1,113,PPP2R2B NTRK3 IFNWP19 NFE2L2 FAT4 LINC00882 RPS2P32 RP4-639F20.1 SHMT2 DCAF13 PARK2 CTD-2589M5.4 LINC01082 OXR1 ITM2A WDR4 ZNF837 HMGCS1 CDC25A CSDE1 DRAXIN RP11-1334A24.5 ACSM1 RP5-1112D6.7 CECR2 CD244 PIWIL2 RP4-660H19.1 NAA10 TEX15 SORCS1 VIM DDOST AC006116.17 AC016292.3 KRT7 RP11-77E14.2 SLC25A13 PIGQ GNPNAT1 ERCC1 RP11-466A19.1 GPR146 MIAT SCARNA9 RP11-680G24.5 PMM1 GTF3C5 ADRB2 PPP4R1-AS1 LAMP5 MXRA5 TMEM245 SEC22C DLEU7 COQ10A RP1-286D6.5 FGFR4 NEK8 RP4-751H13.7 RP11-517H2.6 PLCB3 TMCO6 RP11-694I15.7 AP001429.1 RAMP1 PLA2G2A RP11-262H14.11 GTF3A RP11-327F22.2 ADAMTS17 HCAR1 ATP9A MEST CDRT15P1 GPR56 UMODL1 C5orf66 TRAV2 PLCH1 PPHLN1 RP11-439A17.9 RP4-742J24.2 FUNDC1 FAM131A SERF1B LINC01105 FJX1 RP11-166P13.3 RP11-100N21.1 RP11-381O6.1 ASGR1 RPL13AP20 AFG3L2 GTF3C4 PGCP1 EXOC8 RP11-1017G21.4 AC018804.6 GS1-279B7.2 DYRK4 HOXA3 RAB18 PBX4 ZNF137P SALL2 CYB5D2 AIF1 NOMO2 CTPS1 CCDC66 ZNF609 CIAO1 
ALKBH2,113,RP3-467K16.2 RBFOX3 EPCAM PLA2G3 LETM1 CTD-3222D19.8 STX7 LINC01134 DBNDD1 DNM3 CLDN3 SGCA SLC7A14 RSAD1 C19orf54 FAM109A LINC00877 TULP2 NAB1 FARSA RP11-158I9.5 SLC35F4 RASSF7 REPS2 RP11-359K18.4 PIK3C3 CENPQ MYDGF PLB1 RP11-65J21.3 ZCCHC4 HBB POP7 FAM228B AGAP3 RP3-431P23.2 KIAA1107 MGLL LYPD6B KRT19 RASSF1-AS1 MUL1 TSPYL1 BAZ1A MKNK2 RP11-738E22.3 LOXL3 ANP32B ITGAD SHPK ARID5A RP11-460N20.5 RNASEK AKAP8L RP11-680G24.6 AC006946.15 CACNA1C-AS1 KRCC1 ZNF181 RP3-391O22.3 ZNF410 ERH RP11-715J22.4 PLCG1-AS1 KCNA3 NUDT5 RP11-861E21.1 MKNK1-AS1 RP11-567G11.1 GNAI3 RP11-178H8.7 CCDC23 P2RX5-TAX1BP3 EFHB METTL2A RP5-1021I20.5 FREM3 TMSB4XP4 INAFM1 CREBBP IKZF5 TOMM70A MED7 RP11-139H15.6 CTB-113P19.4 RP11-115H13.1 VPS25 RP11-146N23.1 PMEL RP11-315O6.1 FAM63A SPATA4 FTH1P15 GRIN2D TMEM67 ISPD POTEM EP300 CD2 COX4I1 FKBP1B RP11-565F19.2 SETD7 REEP4 DDX60L ABHD14A MARK1 UCHL5 DSP RAB40B AKAP8 LIMS1 SNHG5 
SYDE1,112,CTC-296K1.4 PHF19 PTPLA HMGCLL1 RCC1 RP11-2N1.2 NR3C1 KCNMA1 RP11-43F13.3 NFE2L2 GTSE1 SHMT2 TMEM14C RP11-170K4.2 BMPR1A PPAN FYCO1 FN3K STK35 RP11-277B15.3 NAPG LUZP1 TSTA3 RP11-495P10.10 AC092066.1 LYPD5 CCT8 DMBX1 PAGR1 APTX RFPL1S NMI RP11-405M12.3 AAMP CTC-232P5.1 CTD-2350C19.2 POLDIP2 SC22CB-109E1.1 ARHGAP5 ZNF841 SEMA6A-AS1 KCNQ1OT1 RP11-373D23.3 GDE1 TAS2R20 THUMPD2 FAM214B RP11-837J7.4 BZW2 RP11-253A20.1 CTB-25B13.9 MDM4 CD81-AS1 PCDHB16 RP11-114F3.4 HMGA1P4 Z97634.3 ATP1A1-AS1 ANKRD54 RP3-406P24.4 TMEM191B TTLL10 EFCAB11 SHD ERI3 ARL8A DCAKD CSRP2BP LOX RP11-327J17.9 ZBTB12 PEX12 FAM171B RP11-399B17.1 RP11-82L18.2 HADHB STAB2 RP11-390P24.1 KHK ABCB4 CLGN NDUFA4 RP11-98J23.2 ALS2CR12 CTD-2026K11.6 ZBED8 RP6-105D16.1 MIR8071-2 RP11-439L8.2 RP11-1038A11.1 UNK ALDH8A1 XXbac-B444P24.10 UBE2FP3 C1orf162 CMPK2 SALL2 AC062029.1 COG1 GCSAML ELAC2 TXNDC5 SUCLG2 USP6NL C10orf11 FBXO38 GARNL3 FAM219B ZNF131 MRPS23 GNE ACAA1 
CCT8,112,IL21-AS1 JPH4 FOXQ1 SERPINB5 C9orf163 RCC1 ANKRD53 KCNMA1 NFE2L2 GTSE1 EYA1 SYDE1 RP4-616B8.4 PPAN CCDC57 FYCO1 MANF FN3K MYOZ1 TSTA3 DUSP15 AC092066.1 SLC23A3 DICER1-AS1 SLC35F1 DMBX1 TMEM259 APTX ZNF213-AS1 RP11-540B6.6 RP11-390F4.2 NMI NAA10 AAMP NXPH1 STAG3L5P-PVRIG2P-PILRB CTD-2350C19.2 MTFR2 PWRN1 SC22CB-109E1.1 ARHGAP5 AC019100.3 CLASP1 SEPHS2 LIPC SEMA6A-AS1 GNPNAT1 MATN4 DNAAF1 RP5-907C10.3 RP11-373D23.3 GDE1 SCARNA9 RP11-837J7.4 SRP54 RP11-181C3.1 SEC22C RP11-253A20.1 ZNF19 LHFPL3 MDM4 HMGA1P4 RP1-97D16.1 ATG2A RP11-312J18.5 IGHV7-81 PLCB3 ATP1A1-AS1 RP5-882O7.1 ANKRD54 NME2P1 TCEANC LYRM4 TMEM191B EFCAB11 RP11-416N2.4 SHD ERI3 PKD1P6 RP11-4K3__A.3 ARL8A ERLIN2 CTD-2033D15.3 DCAKD RP11-327J17.9 PEX12 IGLV1-41 GRTP1 UBAP2L RP11-82L18.2 HLA-DRB5 RP11-388M20.1 STAB2 KHK DGCR14 ABCB4 CCDC30 NDUFA4 CTB-36O1.4 SQRDL CALM2P2 UBE2FP3 AF131215.9 CMPK2 LRRFIP1P1 SALL2 USP6NL C1orf27 GARNL3 ZNF131 SLC11A2 ACAA1 
CTD-2031P19.4,112,MORC1 RASL12 KITLG APBB1 OLFML2A SEMG1 TMEM210 MKX OSR2 FAM111A TTLL5 NONO CTC-510F12.7 VSX1 PABPC1L RBM5 RP11-413E6.1 LARP1B PLIN1 TARS BCAT2 BTG2 GPR144 CTD-3064M3.3 RCSD1 KCTD6 RP11-834C11.5 GAPT RP11-318C24.2 RP11-168K11.2 RP11-244F12.3 FABP4 GNPDA2 GTF2H4 RP11-266A24.1 RP11-646I6.5 PRAP1 F2R UBE2Z RP11-386G11.5 SEMA4C DENND4C LA16c-306A4.1 RP11-40C6.2 LILRA6 ATF1 MCM3 TXNRD3 TACR1 SHROOM3 RP11-27M9.1 RP11-388K12.2 FTSJ2 SEL1L LINC00854 RP11-266L9.5 MARVELD2 PLEKHF1 IFITM10 LINC00982 ST8SIA2 DNAJC28 IGHV4-31 PCED1B IGHV4-55 SHROOM1 AMELY NPIPB15 FBXO36 ABBA01017803.1 ZNF790-AS1 RRNAD1 C6orf132 LINC00449 TM9SF3 MRPL21 KRT8P36 IGJ C9orf40 RFT1 CLUHP3 WNT7B SLC2A13 DDR1 SLC25A15 FAM219A RALGAPA1 CCNK LA16c-385E7.1 AC004166.6 TMEM110 GRK1 CTD-2203K17.1 GAPDHP72 CTD-3199J23.6 RP11-130F10.1 NUTF2 RP1-197B17.3 BROX FBLL1 CFP TFEC CSNK1G1 ARHGAP17 DDX60 PHTF1 SZRD1 TTC21B ACSL5 C12orf57 ACBD3 HNRNPUL1 
AL022393.7,112,RP3-467K16.2 LINC01134 ITGB3 SEPHS1P6 CASQ1 RP11-155D18.13 RP11-135A1.2 OTX1 KLHL30 NPW GBP1P1 RP11-10O17.1 TCF21 PIK3C3 RP11-118K6.3 RP11-69I8.3 EHBP1L1 RP11-46F15.2 DFFB PPP1R26 C3orf62 RP11-98F14.11 HBB SEMA3B GMDS-AS1 TRAPPC6B LINC01237 CALN1 LYPD6B LINC01549 CTNNB1 LONRF1 RASSF1-AS1 EXTL3 AOC2 EIF4BP7 ATP5S RPS10 MYO15A RP11-426C22.5 ITCH RP1-137D17.2 LINC00551 SHPK NEK3 CXADRP2 RP11-722E23.2 CTD-2600O9.2 AC108463.2 LINC01003 ZNF473 RP11-422P24.10 GXYLT1 POLR2I CALML6 ZC3H18 RAB44 VAMP1 ZSCAN5A CCDC23 CASC4 METTL2A ATR RP3-476K8.4 FREM3 FAM171A2 RP11-317J10.2 TMSB4XP4 GPX1P1 RP11-627K11.6 TAF1 YIPF1 EPO TAS2R15P SEPHS1 RBM12B CTD-3193O13.8 RPL10AP2 AGFG1 FAM63A RP11-339B21.8 HOTAIR IL18RAP C15orf39 RP11-329A14.1 RP11-930P14.2 CTD-2377D24.4 RP5-991G20.2 NXT1 SPDYE1 YWHAZP6 HOXB5 TMEM39A HNRNPA1P12 AF131215.8 EPX GYS1 ISPD RP5-1157M23.2 SMTNL1 LTB4R2 LINC01411 RMI2 COX4I1 FKBP1B ARCN1 IP6K1 HAX1 TYW5 ZNF627 FAM83F GORASP1 
ZHX1-C8orf76,112,PLP2 DAB1 PPM1L NNT-AS1 VPS37C AC000123.3 KIF18B RUNX1T1 ACTB SEC61G METTL1 SLC38A5 GGA1 PAFAH1B1 BZRAP1-AS1 EPHA8 GDPGP1 BMPR1APS1 BLOC1S3 CTB-193M12.4 PYCARD DDX50 COASY HSPA2 CCDC7 RP11-752G15.8 GALNT13 DNAJC13 DGKZP1 TNNC1 IGFBP4 SCARNA12 TMEM136 GS1-124K5.11 SRSF11 LINC00161 TCEB3-AS1 MIS18A MIR3685 AKT2 SSTR1 CAMK2B ZNF773 RP11-588K22.2 RP13-941N14.1 RP11-291L22.8 PHF3 RP11-444E17.6 POLR3K RP4-751H13.5 RP11-298J20.4 CIR1 RP11-122K13.12 CTAGE15 FAM84A CTD-2007H13.3 ERCC4 BRI3P1 PAK6 CCDC174 ANK3 RP11-876N24.4 RAPSN CCP110 SMARCC1 ZBTB49 LINC00630 CEP350 IFIH1 NQO1 RP11-66B24.7 CLDN2 VPS26A RPL29P14 PLXNB2 GTSF1 RP11-308D16.2 IGLV3-19 EEF1A1P14 EVA1B RP11-769O8.3 ARTN LRCH4 CEP170 SRGAP3-AS4 PSME1 PREX1 PRMT5 AC009245.3 RP11-144G6.12 AC092614.2 ATP1A1 DVL3 RP11-445P19.3 EXOC3 SLCO1C1 KLHL28 RP11-84C10.4 GRIK1 SNRPB2 RP11-1275H24.1 CEP250 TMCC3 ALDH7A1 GAMT APOOL LINC00339 TXLNG FAM58A ALS2 PLD2 KLHL22 
RP4-742J24.2,112,NTRK3 TMEM169 NFE2L2 FAT4 RPS2P32 SHMT2 NBPF8 TXN BMPR1A LINC01082 MAPK14 OXR1 FN3K ITM2A WDR4 B3GNT5 ZNF837 DRAXIN RP11-1334A24.5 AC090945.1 NODAL PTGDR AAMP CTD-2350C19.2 AC016292.3 RP11-326I11.4 TRAF3IP1 SLC25A13 ARHGAP5 AC019100.3 SEPHS2 ZNF736 LL22NC03-22D1.1 LINC00937 LIPC GNPNAT1 RP11-466A19.1 DNAAF1 SCARNA9 C8orf44 PMM1 RWDD2A RP11-837J7.4 PPP4R1-AS1 TMEM245 SEC22C RP1-286D6.5 RP11-288E14.2 BEX2 NUDT14 NSMCE2 RP11-517H2.6 RP11-312J18.5 IGHV7-81 RP11-694I15.7 CEP95 NME2P1 AC008746.5 CTD-2002H8.2 GOLPH3L ILKAP GNG5 GRAMD3 RPL12P4 RP11-262H14.11 TTC17 RP11-416N2.4 ZNF140 ARL6IP4 RP11-4K3__A.3 ARL8A HCAR1 CYCSP10 DCAKD AC004893.11 WT1 ATP9A MEST GPR56 RP11-82L18.2 CASP10 NASP KHK NDUFA4 FAM131A MIER3 RP1-127D3.4 SQRDL RP11-685N10.1 FJX1 AC108488.4 IFI44L PNPLA3 EXOC8 RP11-1017G21.4 TRI-TAT2-2 RP11-73M7.6 AC018804.6 ZNF639 MAPK1IP1L C1orf162 DYRK4 MST1L ZNF137P DCTN2 SALL2 AIF1 FBXO38 C1orf27 CCDC66 RBM7 ACTR1B 
SHMT2,112,AF131217.1 SOX15 ANXA2P2 CORO1C C9orf163 NFE2L2 VILL OXSM SYDE1 FBRSL1 PDILT HMG20A LINC01558 RP4-616B8.4 MAPK14 FN3K STK35 WDR4 ZNF652 RP11-277B15.3 DLG3-AS1 LUZP1 SOCS6 CALR4P AC092066.1 RP5-1112D6.7 TMEM259 PAGR1 APTX ABCC6 STK11 AAMP TEX15 CTC-232P5.1 COPS2 RP11-212I21.2 TRAF3IP1 POLDIP2 RIN2 ARHGAP5 AC019100.3 CLASP1 SEPHS2 LIPC GNPNAT1 DNAAF1 TMEM150C GS1-124K5.4 SCARNA9 TAS2R20 C8orf44 RPSAP47 THUMPD2 FAM214B BZW2 RNU6-882P SEC22C SNX18 CTC-487M23.5 PLAT AC003090.1 CLIC5 RN7SKP80 IGHV7-81 PLCB3 ATP1A1-AS1 RP5-882O7.1 RPS7P1 NME2P1 ILKAP EFCAB11 RP11-4K3__A.3 TCAF2 CYCSP10 DCAKD CDRT15P1 PEX12 ARMCX7P RP11-399B17.1 SATB1-AS1 GRTP1 RP11-82L18.2 CPSF2 RP11-65I12.1 RP4-742J24.2 CCDC30 NDUFA4 FAM131A RP1-127D3.4 ALS2CR12 NAMPT FJX1 CCDC144NL-AS1 NPY2R IFI44L CALM2P2 TRI-TAT2-2 PABPC1L2A RING1 UBE2FP3 DYRK4 HOXA3 SCNM1 PBX4 DCTN2 SALL2 ELAC2 C8orf37 USP6NL C1orf27 GARNL3 MRPS23 
TMCC1,112,RAPGEFL1 AP000662.4 TBX5 MIR143HG PDCD2L AC005336.5 RP11-800A3.4 NCMAP HELQ SLC26A1 CAMK4 WDR47 NKIRAS1 CTD-2666L21.3 AC006277.3 PRDX4 KLRF1 AC005387.3 SLC9B2 ADAM19 MEF2C SOX8 PBXIP1 SYNPO ODF2 MRPL12 AP5Z1 AGPAT6 NOP14-AS1 RP11-353N14.4 IL17RB PLEKHD1 RP11-266K4.9 GABRB3 LIMK1 FAM87A CPM NPIPB3 RP11-151N17.1 AHNAK SERPINB6 CPNE9 CTC-281F24.3 SNX24 RP11-250B2.3 TUBB4B NKX2-1 ST13P18 SPR AC004932.1 ELOF1 RP11-272D20.2 ZWILCH SF1 TRGVA PTAFR AEN RP11-291B21.2 SELP RP3-467L1.6 RP11-388C12.1 ZNF2 AC007566.10 LRP5L ZNF354B SLC39A10 RP11-35G9.5 KLF7-IT1 SENCR SAMSN1 CCNT2 CTD-2139B15.1 PRR34 CTD-2006C1.13 WDR83OS AP001476.2 RALGPS2 PI4KAP2 WDR59 AC079776.2 KREMEN2 RP11-1E11.1 AC093668.2 RP5-881P19.7 RP11-152F13.8 TOMM20L RP11-324I22.3 RP11-809N8.5 MIR503HG SYT2 CH17-472G23.4 HLA-DOB NAF1 AC007750.5 TMEM26 USP45 CDC42SE2 BMP8B TAOK3 RPUSD3 RGS19 DIABLO TRIM33 RAB10 RAVER1 ZNF710 ATP5J SDHA HOXA10 ALG5 NUP205 GNS 
DNAJC15,112,RP11-629G13.1 LINC00087 C1orf106 ACOT11 AHNAK2 TACR2 AF001548.3 RAP2C-AS1 EFNA5 ZDHHC15 SLIT3 GPR75 DKC1 XXbac-B135H6.15 RP11-104N10.2 ECI2 CASC9 OR51A9P AC011242.6 RAB23 CTD-2013N17.6 RPS15 UPF1 PDCD11 DEPTOR RP6-109B7.5 RP11-248G5.9 CAD LINC00174 CLNS1A DIP2A SLC25A19 KIF11 SERGEF KCTD18 CCDC36 ACKR4 C16orf71 STT3A EAF2 ARRB1 ANKRD34B RP11-295H24.5 RPL14P1 RPL24 RP11-1109F11.5 NUAK1 SFT2D1 TOX AF064858.8 CYP24A1 NUDT6 NTS ZNF671 PTENP1-AS NDUFS4 EFR3B CXCL8 ANKFY1 RP11-326I11.5 DMXL2 NOTUM ARPIN CDC20B RP11-91G21.1 VPS41 SNX18P7 PTPRN2 MSH2 IFITM3 VWDE EGR3 HERC2P10 ANXA11 RP1-130H16.18 GOLGA7B RNF19B LINC01352 FAM78A MTRNR2L10 FSCN1 GP1BA RP11-423H2.3 TBX2-AS1 SPDYE6 KLRC4-KLRK1 C5orf46 SNRK-AS1 FO538757.2 MKRN3 RP11-552M11.4 RP11-554D14.8 RP11-265E18.1 NCF4 UBXN6 STAG3 RP11-552M11.8 CYP46A1 MVB12A RPL3P7 ZNF675 RTEL1 AP5S1 CRMP1 XRCC3 UBB EXOSC1 STAB1 IL32 COA3 SART3 AKR7A2 
PFDN1,111,STAC AOX1 ETNK2 ARHGEF38 RP11-872J21.3 RP11-66N24.4 CTD-2089N3.1 TP53INP2 BCHE RP11-154H23.3 RP11-17E13.2 ZNF707 RP1-267L14.6 NTRK1 ALDH18A1 HAUS2 MGAT3 RBMS2P1 RP11-496H1.1 H2AFX KRT6A RFX3 TFAP2A-AS1 RP11-260M2.1 DVL2 GPC1 VN1R1 NT5C1B MPP4 MTERF2 EMB FOXJ1 NPFFR1 SDR16C5 CFTR STK25 RP5-965G21.3 MARCH11 RP11-390K5.6 CRHR2 NCKAP1L FYTTD1 BRWD1-AS2 POP1 DNPEP ATP5J2 PICK1 C1orf189 ZNF227 TMPOP2 CTD-2562J17.6 CHRNA10 HNRNPLL U2AF1 ODF2L AC000403.4 SRD5A3 ANKRD28 AMER1 TBC1D20 GNRH1 AC024560.2 LMOD2 HCG15 DTX3 TLL2 CD33 TRIM16L DNAI1 CYP1B1-AS1 STX18-AS1 DALRD3 PTK2B ATG101 EIF2A TOLLIP-AS1 SPCS2 RP11-350N15.4 GLTSCR1L BRD4 RP11-616M22.5 ARRDC4 RP11-400F19.18 ZNF358 MOGAT2 CDR2 RP11-118H4.1 RP11-472N13.3 ELP2 IGKV6-21 SLC35G5 GTPBP1 RP11-402J6.3 RP11-563H6.1 RP11-755E23.2 RP11-373N22.3 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 GFM2 NTNG1 ZNF800 SOGA1 PRDM4 ARFGAP2 TUBGCP5 TBPL1 DEF6 BACH1 GPBP1L1 
SLC7A14,111,RP3-467K16.2 RBFOX3 EPCAM LETM1 CTD-3222D19.8 STX7 LINC01134 DBNDD1 DNM3 CLDN3 RSAD1 RP11-1055B8.1 BYSL C19orf54 AC002550.6 FAM109A LINC00877 CSRP2 TULP2 FARSA RP11-158I9.5 HOXA13 SLC35F4 RASSF7 RP11-359K18.4 PIK3C3 ALKBH2 CTB-131B5.5 CENPQ MYDGF MSH5-SAPCD1 PLB1 RP11-65J21.3 ZCCHC4 HBB POP7 FAM228B AGAP3 SDC4 RP3-431P23.2 MGLL KRT19 MUL1 TSPYL1 GPC6 MKNK2 RP11-738E22.3 LOXL3 PCMT1 ARID5A RNASEK RP11-680G24.6 AC006946.15 C1orf100 KRCC1 ZNF181 RP3-391O22.3 ZNF410 ERH RP11-715J22.4 PLCG1-AS1 EIF4HP1 KCNA3 GGT7 NUDT5 MRPS31P5 IAH1 PIK3C2A MKNK1-AS1 RP11-567G11.1 AC009478.1 RP11-178H8.7 CCDC23 MS4A4E METTL2A RP5-1021I20.5 TMSB4XP4 INAFM1 SLC5A2 RP11-764K9.4 PACRG ZNF818P CREBBP TOMM70A MED7 MLLT4 CTB-113P19.4 RP11-115H13.1 VPS25 RP11-146N23.1 PMEL RNF219-AS1 SPATA4 FTH1P15 AC005682.5 TMEM67 EP300 CD2 FKBP1B SETD7 REEP4 DDX60L QRICH1 RILP RAB2A ABHD14A UCHL5 RAB40B AKAP8 LIMS1 SNHG5 
XXbac-B135H6.15,111,RP11-629G13.1 TWIST2 TPRN EFNA5 FASN TP53AIP1 GPR75 P4HB RBP4 AKR1A1 RP11-104N10.2 RP5-1042K10.14 AC011242.6 RP11-44N22.3 RP11-91I8.3 DNAJC15 RP11-1143G9.5 EIF3I RP11-141O11.2 MIR7111 DEPTOR RP11-248G5.9 AC009506.1 XPO5 AC116614.1 DIP2A LINC00624 KIF11 KDR SPINK2 GRPEL1 STT3A STX16 ANKRD34B GSTZ1 MED28P3 MARS2 RP11-165F24.2 HDAC9 RP11-1109F11.5 NUAK1 RP4-635E18.8 RP11-227G15.11 NOVA1 RP11-433P17.2 RP11-196G11.2 NGLY1 LINC01354 CTD-2035E11.5 USP34 CTC-428G20.1 ZNF404 EFR3B TASP1 YPEL2 DMXL2 TSPAN3 CCDC17 CDC20B VPS41 RP11-130L8.2 SLC25A26 BNIP3 MSH2 RP11-133L19.3 IFITM3 AP000640.10 RP11-687E1.2 ZNF20 ZNF354C TMEM194A TP53TG1 VWDE DGCR6 HERC2P10 ZFP2 SERPINA7 TOMM22 RNF19B MTRNR2L10 TNNT1 GP1BA RP11-423H2.3 KLRC4-KLRK1 BLMH SNRK-AS1 PGK1P2 TBX2 CH17-302M23.1 NXPH4 FAM173B CAMTA2 PMF1-BGLAP GOLGA2P7 RP11-127L20.3 CRYM-AS1 BRD3 S100A1 MMP1 RPL3P7 AP5S1 CDHR3 OSGIN2 SLC25A32 PSMD14 PSMD12 CCM2 UNC119 ZMIZ1 TRIO TNFAIP1 
EFNA5,111,GPX2 BOLA3-AS1 RP11-629G13.1 LINC00087 ACOT11 AHNAK2 AF001548.3 GPR133 PLIN4 ZDHHC15 GPR75 PHACTR2 XXbac-B135H6.15 RP11-480A16.1 RP5-1042K10.14 B3GALTL TMED10P2 AC011242.6 RAB23 DNAJC15 UPF1 EIF3I RP11-141O11.2 RP11-327P2.5 DEPTOR RP6-109B7.5 ZNF607 LINC00174 CLNS1A DIP2A MIR143 KIF11 KCTD18 CCDC36 ACKR4 KDR EEA1 STT3A ATP8B5P POM121C MARS2 RP11-295H24.5 RPL14P1 RP11-696N14.1 RP11-165F24.2 HDAC9 RP11-1109F11.5 NUAK1 RP13-131K19.6 NGLY1 PDCL3 NUDT6 NTS ZNF671 CTC-428G20.1 EFR3B CXCL8 ANKFY1 MMP17 MIR646HG RP11-326I11.5 RP11-316M21.7 CENPBD1P1 DMXL2 TSPAN3 ARPIN CDC20B VPS41 RP11-130L8.2 IFITM3 SLC6A15 CD80 STRADA RP11-715J22.6 VWDE EGR3 HERC2P10 RP11-255H23.2 GOLGA7B LINC01352 FAM78A MTRNR2L10 GP1BA RP11-423H2.3 SPDYE6 KLRC4-KLRK1 C5orf46 FO538757.2 TBX2 ZNF823 CH17-302M23.1 NXPH4 RP11-554D14.8 AC026471.6 SLC2A8 RP11-499F3.2 RP11-265E18.1 UBXN6 MMP1 IGHD RPL3P7 AP5S1 CRMP1 BRIP1 XRCC3 UBB EXOSC1 STAB1 IL32 KAT8 AKR7A2 
GLTSCR1L,111,STAC AOX1 ARHGEF38 GRAMD1A RP11-510J16.5 RNASEL MRVI1 RP11-66N24.4 CTD-2089N3.1 TP53INP2 ATP1A4 RP11-154H23.3 NDUFV2-AS1 ZNF707 ALDH18A1 CTD-2194D22.3 MGAT3 S100A12 RBMS2P1 UBOX5-AS1 RP11-496H1.1 H2AFX KRT6A RP11-260M2.1 DVL2 VN1R1 CH17-360D5.3 MPP4 LINC00907 MTERF2 EMB FOXJ1 NPFFR1 CTD-2015H6.3 SDR16C5 PSPN CFTR STK25 MARCH11 ACYP1 RP11-356B19.11 CRHR2 LINC01037 POLR2M ACSL6 NCKAP1L FYTTD1 BRWD1-AS2 ATP5J2 ANKRD18CP PICK1 ZNF227 TMPOP2 CHRNA10 A1CF LATS2 TNRC6C-AS1 AC000403.4 SRD5A3 AMER1 GCSAM FBXO16 RNF222 RP5-1136G13.2 PCCA C3orf38 MRPL45 GGT5 SLC39A6 TLL2 CD33 STX18-AS1 CHMP2A SMOC2 PTK2B ATG101 EIF2A TOLLIP-AS1 SPCS2 UBXN1 MT-ND1 PTH2R CTD-2336O2.1 RP11-400F19.18 RP11-472N13.3 PFDN1 ELP2 RP11-21L23.3 FAM3D SLC35G5 CTD-2246P4.1 RP11-402J6.3 CHRM4 PRPF38A RP11-373N22.3 SEPT11 CD97 RP11-9L18.2 CTD-2619J13.3 SMO C15orf40 NTNG1 SOGA1 ZFYVE9 RP11-390E23.6 PRDM4 CLCC1 TUBGCP5 PDHB PDE4DIP BACH1 
