Gene,Number of connections,Connected genes
BIN1,29,NECAP1 HSPA8 ARPC1A EPS15 FNBP1L ADRB2 REST POU5F1 ASAP2 KDM5B APOB ZNF263 DNM2 AP2S1 AP2A2 FCHO2 MAX PIK3R3 E2F1 SYT2 AMPH SH3KBP1 LDLRAP1 STAM2 TERF2 REPS1 EPGN KIAA0319 CD3G 
INTS1,29,TAF8 CDK9 RPAP2 POLR2A POU2F2 POLR2D SUPT4H1 INTS3 INTS8 SNAPC5 CCNK ELL TAF11 INTS9 GTF2A1 SP1 KDM5B TAF6 GTF2A2 GTF2B INTS5 GTF2E2 PCF11 POLR2B POLR2J NABP2 ELL2 GTF2E1 RPRD1A 
HECTD2,29,FBXW4 FBXL14 FBXO21 ZNRF1 RLIM UBC FBXW7 FBXO17 RNF217 FBXW5 FBXO9 FBXO15 FBXO40 TRIM69 FBXL7 CUL1 UNKL SIAH1 UBE2A FBXO7 FBXW2 FBXO10 FBXL5 FBXO44 FBXL19 FBXL20 HERC5 FBXO41 SMURF2 
PPIB,29,BSG COL10A1 COL12A1 COL23A1 COL22A1 COL3A1 COL28A1 COL26A1 COL24A1 COL25A1 COL2A1 COL15A1 COL13A1 COL14A1 COL18A1 COL19A1 COL16A1 COL9A2 COL6A2 COL5A1 COL4A3 COL6A3 COL7A1 COL21A1 COL27A1 COL8A2 COL17A1 COL4A1 COL1A2 
RFC4,29,CCNH CHD1L RFC2 CHEK1 UBE2L6 BLM POLR2A ATRIP BRCA1 WDR48 GTF2H4 WRN PCNA USP1 MNAT1 VCP ERCC1 USP43 CDC6 CEP164 ATM TP53 POLA2 UBA7 CHTF8 EXO1 MCM7 NPLOC4 POLR2D 
KLF2,29,GSTO2 GSTM5 GSTM4 GSTM3 GSTM2 GSTA4 GSTA3 GSTA1 GSTM1 GSTT2 GSTT2B PLAT NOS1 MGST3 MGST2 MGST1 MEF2D MEF2B MEF2A PRKAG1 TXN RELA ASS1 NQO1 GSTO1 NPPC TXN2 HMOX1 FOXO6 
ZZZ3,29,DPYSL2 NR2F1 MORN3 RPS28P7 MDGA1 RERGL DR1 SLC2A4RG LIME1 SMURF2 ZNF595 ZBTB20 DCHS2 BRCA1 TIMM9 ZNF639 MIR31HG SLC4A5 MYO5A ZBTB33 AC019100.3 ZNF19 SERPINB5 AC091878.1 ANKRD54 NDUFA4 CCDC97 KCNA2 TMTC1 
DNM2,29,HLA-DRB5 ARC NOSTRIN NME1 MYOF HLA-DQB1 NOS3 UBC CTTN IL7R FNBP1L PDGFRB BIN1 KIAA0319 HIP1R HSPA8 NECAP1 ADRB2 REPS1 CHRM2 AAK1 STAM2 EPGN DOCK4 FNBP1 AMPH VAMP2 SNX18 AP1M1 
ZNF83,29,STAT1 CNPY3 ANXA4 CHD4 RHOBTB1 CHIC2 CYB5R4 RHOBTB3 SHMT2 RP11-4K3__A.3 MED15 DUSP10 VPS13D ENOX2 ITGA9 SLC30A10 MYOM2 FNDC3B LUZP1 NPAS4 CORO1C NFE2L2 DDIT4 PLEKHM3 CUBN SRSF4 SYDE2 PHIP MAZ 
PCDHB13,29,CDH1 CDH3 CELSR3 PCDHA8 CDH23 PCDHB1 PCDHA4 PCDH12 PCDHB16 PCDHA1 PCDHB2 CDH13 PCDH11X CDH22 PCDHA6 PCDHB12 PCDHB8 PCDH7 PCDHB3 CTNNB1 PCDHB11 PCDHGB3 PCDHB14 CTNNA3 PCDHB18P PCDH18 PCDHGA6 PCDHGA8 PCDHB4 
FURIN,29,NODAL ANTXR1 NOTCH4 ANGPTL4 NGF PLG GPC3 FBN1 F7 ANTXR2 ANGPTL3 ACE2 BACE1 COL23A1 ADAM17 COL25A1 BACE2 FLG COL26A1 PROC PROS1 MMP16 BGLAP FBN2 PROZ PDGFB MMP11 MMP14 GAS6 
MRPL13,29,TUFM MRPL19 MRPS23 MRPL43 MRPL4 PTCD3 MRPS34 MRPS7 MRPS12 MRPL54 MRPS25 MRPL38 MRPL16 MRPS14 MRPL41 MRPS18C MRPS16 MRPL50 MRPL20 MRPL53 MRPL37 MRPL11 MRPS6 ERAL1 MRPL55 MRPL30 MRPL17 MRPL49 MRPS31 
FOXO1,29,OGT CPT1A PLK3 STK4 SETD7 RAG1 SGK2 FBP2 FBP1 FBXO25 ATG5 AR SMAD2 PLK2 CSNK1D CCNB1 STK11 ESR1 BCL2L11 FBXO32 RBL2 GAB1 ANGPT1 G6PC3 BNIP3 IKBKB BCL6 ATXN3 YWHAZ 
SNRPN,29,EIF4A3 PTBP1 HSPA8 POLR2D UPF3B SRSF4 SF3B6 PRPF3 POLR2A YBX1 PRPF8 POLR2J HNRNPC TRA2B HNRNPUL1 WBP4 ISY1 RNPS1 RBM5 EFTUD2 SF3B1 HNRNPH1 PRCC U2AF1L4 GCFC2 LSM2 PPIH SRSF7 SRRM1 
YKT6,29,ANK1 STX5 COPZ1 VTI1A TMED7 ARF4 COPB1 COG3 FOLR1 DCTN2 COG1 STX7 STX8 GOSR1 GOLGA5 COPG2 COPA TMED3 SPTBN1 COPG1 COG6 SPTBN5 GOLGB1 TMED9 DYNC1LI1 DYNC1H1 NAPA RAB33B COG8 
SHC3,29,PRKCI FGFR4 PRKD2 RASAL2 NTRK3 SPRY4 ERBB4 IL6R AXL FGR STAT5B NGF GFRA3 PRKD3 BCR PLCG2 PDGFRA PLCG1 PDGFRB GRAP ARTN NF1 STAT3 GAB3 PIK3CB SYK KRAS GAB1 NRAS 
SRP54,29,RPS7 RPL41 RPS5 RPL14 RPL23A RPLP2 SSR2 RPS9 SSR3 DDOST RPS29 RPL22 RPL6 SRP14 SRP72 ZNF318 MBD1 BRF2 SSR4 RPL21 RPL39 RPL15 RPS6 RPL31 SEC61G RPL11 RPL4 FAU RPS4Y1 
JAK2,28,NRAS PIR MAP2K5 RGS1 IL12A IL18R1 CBL CRKL MAPK3 IL18RAP CD2 SOCS4 CHRNA6 PXN GHR TRAV3 B2M HLA-A IL20RB IL2RB CSF3R TREX2 MYLK GNAZ LYN KDR STAM STAT4 
NUP37,28,CDC42 KPNA3 SRSF6 GEMIN5 STAG1 NXF1 RAE1 PPP1CC PIAS3 ERCC6L EIF4E KPNA4 DIAPH2 UPF3B CLASP2 RPS27 NUP155 CENPP NUF2 CENPT CDC20 KPNA5 ISG15 ITGB3BP RAD21 NEK6 SYMPK THOC1 
USF2,28,ETV4 PIGR KDM4C TAF6L CBS TBX5 TGFB2 USF1 ZNF280D ZNF292 ZNF358 WBP2 WWP2 TYMS CTCF DVL2 CHGA SERPINE2 SLC1A3 CITED1 KAT5 B4GALT5 CCNT1 GHRL CEACAM1 DFFB ADNP2 DMRT2 
CEP89,28,HAUS4 CEP97 MAPRE1 NEK2 DYNC1H1 TCTN2 CEP164 DCTN2 IQCB1 CLASP1 PLK4 CEP57 RAB11A CEP192 CNTRL HAUS8 TUBG1 PPP2R1A CENPJ YWHAG YWHAE AKAP9 PRKAR2B AHI1 KIF24 CEP41 ALMS1 TMEM216 
RAC3,28,PREX1 ACTB PLXNB3 MAP3K6 ABL1 ARHGAP1 DOCK2 ARHGAP26 PAK1 GNG10 GRIN2C PIK3R3 PLXNA2 ARHGAP15 PIK3R1 GRIK3 ARHGEF6 IQGAP1 BLNK GNG12 GNGT2 ACVR2A HRAS WASF3 DVL3 GRIK1 PAK6 PLXNB2 
PSMD8,28,PSME1 DVL3 CCND1 RELB CDC26 UBE2D1 PRICKLE1 TNKS AXIN1 ANAPC16 PTEN SOD1 CUL5 TNFRSF13C NFKBIB GTSE1 PSMC2 ANAPC2 NOTCH4 NFE2L2 TNKS2 APC ODC1 EGLN3 CDC25A PSMB1 NFKBIE PSMB3 
SOCS3,28,PTK6 COPS7B IL6R CUL5 DOK2 GSK3B UBE2D3 IL12RB1 SYK COPS2 IFNAR1 UBE2D1 MAPK1 SOCS1 COPS5 MAPK3 CRKL IRS4 UBC COMMD1 PRKCD LCK STAT3 GPS1 GAB2 TYK2 KRAS NRAS 
CDK1,28,SPDYE3 PRKAR2B XPO1 CCNA1 ANAPC1 ANAPC4 B9D2 SMC4 VCPIP1 PHF8 LPIN1 CDC25B SLK CENPN PSMC3 AURKB LBR NCAPG SPDYE1 SPDYE5 PSMD12 ACTR1A MASTL ANAPC13 CPEB4 SPDYE6 SPDYA SPC25 
PTBP1,28,SNRPN CASP3 TIA1 UPF3B CASC3 POLR2D PRPF4 CPSF2 USP39 RNPS1 HSPA8 SRSF1 PRPF8 POLR2A HNRNPC ISY1 PRCC E2F4 GCFC2 WBP4 TRA2B RBM5 U2AF1L4 PPIH HNRNPUL1 SRSF7 SF3B1 EFTUD2 
TAL1,28,PURG RAMP2 HAMP FLVCR1 RNF10 RFX1 PLXND1 MACC1 TFRC USP21 ZNF117 ZNF79 ZSCAN31 APOE RUNX1 SERPINF2 SGK1 CCNH HOXD1 BSG ZNF33B ID1 CEBPB ITGA5 HOXA4 TFR2 CHCHD2 EPO 
MRPL17,28,MRPS12 MRPL34 MRPS36 MRPL20 MRPL4 MRPS31 MRPL27 MRPL55 MRPL46 MRPS24 MRPS23 MRPL19 MRPL50 MRPL14 MRPL21 MRPL30 MRPL39 MRPL52 MRPL2 MTIF2 MRPL53 MRPL13 MRPL54 MRPL44 MRPS6 MRPL42 MRPS25 GADD45GIP1 
MAPT,28,NDUFA11 PRKAG1 NDUFA4 BRSK1 BRSK2 TFAP2A NDUFA4L2 CAMK2D CTCF NDUFS8 NDUFB1 PRKAG2 PRKAB1 TUBA8 TUBB8 MAPK1 MT-ND4L MARK2 PRKAA1 TUBA3D TUBA1C TUBA1B MAPK13 MT-ND3 CAMK2G CAMK2A GSK3B NDUFC2 
SF3B1,28,WBP4 TRA2B LSM3 U2AF1L4 GLYR1 SNRPG SF3A2 RNPS1 POLR2D RBM17 YBX1 BAZ1B PRPF8 SRSF1 HSPA8 PRPF4 CPSF2 GSK3B POLR2A POLR1C SNRPN LSM2 PRCC U2SURP ISY1 PTBP1 CPSF7 SRSF7 
LAMTOR2,28,PRKAG1 RAF1 YWHAB RPTOR TSC1 MAP2K1 RHEB NPRL2 SEH1L SESN1 ATP6V1H ATP6V0B PRKAG2 MAPK3 ATP6V1G1 ATP6V1G3 LAMTOR1 AKT1S1 KPTN ATG13 RRAGC ATP6V1C1 ATP6V0C TSC2 ATP6V0E2 PRKAA1 PRKAB1 LAMTOR4 
TERT,28,TCF7L1 USF1 XRCC6 TNKS TP53 HNRNPC MYC NFX1 XRCC5 ANKRD28 RUVBL2 RTEL1 SMARCA4 NCL SMG5 TEP1 E2F1 PTGES3 IFNG IRF1 YWHAE MAPK3 PPP6R3 NOP10 CTCF ETS1 TERF2 PIF1 
RAB3IP,28,EXOC7 CLASP1 DCTN2 TCTN2 AHI1 EXOC8 RAB11A PLK4 CNTRL CEP41 CEP164 MAPRE1 TUBA1A TTC8 HAUS6 CEP72 BBIP1 YWHAG BBS4 CEP162 EXOC2 PKD1 CEP83 CEP192 BBS5 GDI1 TUBB HAUS4 
EGF,28,SRF SMPD3 STAT1 ADAM12 ARF4 PIP5K1C TEK IFNAR2 FLT1 GAK PIK3C2A HGS REPS2 TRIP10 CSF1R HIF1A CREBBP ACTR2 CNTFR IGF1R CHMP3 CTNNB1 HB CLTA PTK2 GNAI3 IL2RA EP300 
DHX16,28,PCBP2 LSM7 POLR2I SNRPE SRRM1 NCBP1 SF3B2 BUD31 PRPF3 U2AF2 CPSF1 POLR2J FIP1L1 HNRNPD CSTF1 PHF5A HNRNPA1 SRRM2 SNRPB SNRPA1 PRPF19 SNRPD2 HNRNPH2 TXNL4A SNRNP200 CDC5L SUGP1 SNRNP40 
CCR2,28,CCL28 CXCL1 GNAI2 GRK1 CXCL14 CCL22 CCL24 XCL1 PF4V1 CXCL2 CCL8 CCL4 CCL14 GNAI1 GRK4 CCL2 CX3CL1 CCL3 GPSM1 CCL4L1 CCL18 GRK5 CCL17 CCL26 CCL7 CCL23 CXCL11 XCL2 
GAB1,28,EGFR ROCK2 PDGFRB PIK3R5 IL6R FGF2 PIK3C2B CRKL PTPN2 AXL ERBB4 FGFR2 MAP2K1 FGFR4 PRKCI KPNB1 RAPGEF1 FGF1 GGA3 RAC1 ERLIN2 PRKD2 SHC3 GFRA1 RASAL2 TRAF6 IRS2 FOXO1 
CXCR1,28,CCL2 CCL4L1 CCL26 CCL17 CCL18 CCL16 CCL14 CCL8 CCL7 ADAM10 GPSM3 XCL2 PIK3CA XCL1 CCL3 TCF12 CCL24 CCL22 ARRB1 IL12RB1 CXCL10 CCL20 PLCB4 CXCL14 SOS2 CCL11 GNAI3 GRB2 
CALML5,28,CNGA4 CNGA1 PPP1R3C PPP1CB PLCB2 NOS1 KRAS ITPR3 ITPR1 PPP1R3E PPP1R3F PPP3CB WRNIP1 PYGL SDC2 CACNA1D CACNA1I CACNA1H ADCY1 PDE1C PPP1R3D PDE1A PDE1B RYR1 PPP1R3B HSP90AB1 CACNA1C GRIN2D 
NF1,28,PSMB3 PLCG1 ATF2 RRAS SPRED1 PRKCI CTCF PSMC5 PSMD9 UBC PSMC2 PSMB1 PSMD6 PRKD2 PSMD4 GAB3 PSME3 PRKD3 SHC3 KRAS STAT3 PSMD1 PSMD13 PSMD10 GAB2 PSMA5 GTF2B MRAS 
FBXO9,28,FBXW7 COPS8 HECTD2 FBXL20 RNF217 COPS2 UNKL ZNRF1 FBXO17 COPS7B HERC5 FBXO40 FBXO21 RLIM FBXO15 FBXO10 FBXO7 TRIM36 LONRF1 RNF213 GPS1 UBC SMURF2 TRIM69 FBXL13 RBX1 RNF114 FBXW10 
P3H1,28,COL10A1 COL12A1 COL21A1 COL23A1 COL22A1 COL3A1 COL27A1 COL24A1 COL15A1 COL6A2 COL6A3 COL4A4 COL7A1 COL25A1 COL26A1 COL13A1 COL8A1 COL5A3 COL14A1 COL16A1 COL4A2 COL11A1 COL19A1 COL18A1 COL9A1 COL28A1 COL17A1 COL1A2 
ATF1,28,IFNAR1 COPA CREB3L1 MYH10 ADRB3 ACHE TOP2A APEX1 ASCL1 CAMK1D CAMK1G DPAGT1 ARNT2 CCNA1 EGR1 CHGA PRKD1 FOS RPS6KA5 PGK1 CAMK2D CGA CAMK4 CALCA TG GOLPH3 AQP3 POLG2 
BCAR1,28,PTP4A3 ITGA9 PDGFRA PDGFRB ACTN1 CRK ITGB8 GNAI2 RAC2 RAC1 ITGB1 RAP2C ITGA1 ITGA2B CRKL SYK VAV3 LCK ITGAV DNAJC27 FGR PTK6 ITGAM ITGAE ITGAX RAPGEF1 ITGB7 ELMO1 
TP73,28,PSMB1 PSMB7 PIN1 WT1 PSMD10 CHEK1 BUB3 MAPK14 PSMC5 FBXO45 UBE4B BBC3 MYC PSMD9 HTT MAPK13 PSMD1 PSMD13 PSME3 PSMB3 PSMB4 PSMD6 TP53 ABL1 MDM2 UBC CHEK2 RCHY1 
DLG2,28,DLGAP2 DLGAP3 HOMER2 ACTN2 ZNF750 LHX2 SCRIB NCOA3 CAMK2D CAMK2G HRAS TJAP1 NLGN4Y KRAS CAMK2A LRRC7 GRIN2B NME2 GTF2B GRIN1 NEFL GRIN2A HOMER3 RASGRF2 LLGL2 TERF2 DBNL DLG3 
CYSLTR1,28,TAC1 F2RL1 GNA11 GPR143 EDN1 CCK GNAQ FFAR4 F2RL3 F2RL2 GPR65 P2RY1 GPR17 CYSLTR2 NMUR1 GPR132 HTR2B GNG2 LPAR1 PTGFR GGT1 GNRH2 GNA15 ADRA1A HTR2A CCKAR FFAR2 ANXA1 
FBXO17,28,UBC RLIM FBXW7 COMMD1 FBXO21 COPS2 FBXL14 COPS7B GPS1 HECTD2 RNF217 ZNRF1 FBXO10 COPS5 TRIM69 FBXW11 FBXO40 FBXL5 FBXO9 FBXW2 CUL1 FBXW4 FBXO44 FBXL19 UBE2A UNKL HERC5 FBXL20 
GTF2H4,28,POLR1C NELFA RNF111 RNMT RPA3 CCNK ZNF197 ZBTB11 DDB1 SUPT4H1 XPC NELFE POLR1A ERCC1 POLR2D RFC4 CDK9 MNAT1 NELFB UBC POLR2A GTF2H2 COPS2 EAF1 CETN2 SUMO3 TTF1 ISY1 
SEC24C,28,HLA-G SEC31A SCFD1 SERPINA1 STX5 F8 RAB1A PPP6R3 SAR1B SEC23A F5 SCAP SEC31B SEC23IP CSNK1D FOLR1 TRAPPC2L CD59 HLA-DRB5 TRAPPC6B CNIH1 TRAPPC9 MCFD2 HLA-C LMAN1 HLA-DQA1 TRAPPC10 HLA-E 
MRPS14,28,MRPS23 TUFM MRPL37 MRPL19 MRPL3 MRPL54 MRPS6 MRPS7 MRPS28 MRPS12 MRPL4 MRPL43 MRPL48 MRPL53 MRPL13 ERAL1 MRPL41 MRPS31 PTCD3 MRPL40 MRPL16 MRPS16 MRPS34 MRPL20 MRPL55 MRPL50 MRPL15 MRPS18C 
GTF2H5,28,POLR2I PRPF19 CHD1L NELFCD LIG1 CBX3 TAF3 GTF2B POLR2K RFC3 COPS5 POLD4 RAD23B TAF4B UBTF PAF1 RBX1 SUMO2 DDB1 MLLT3 TAF13 LIG3 TAF1 GTF2H3 SUPT16H EP300 POLD3 HMGN1 
CKAP5,28,NPHP4 TDRD7 ILK TUBB4A CENPH HAUS3 HAUS1 CDK5RAP2 CENPI RPGRIP1L DYNLL2 HSP90AA1 NUP43 ZW10 CENPU TUBGCP6 STAG2 ZWILCH CCNB2 CEP135 ODF2 SPDL1 XPO1 BUB1 RCC2 MIS12 TUBB4B CSNK1E 
TGFB1,28,FOXP3 FMOD PLG MRC2 MRC1 LTBP3 TBX21 ACVRL1 SDC1 ZNF467 MED24 SMAD2 UBA52 RELA PRKCZ AGTR1 SMAD4 PLA2R1 PPP1R15A LTBP4 INHBC PPARGC1A PPP1CA SP1 MED9 ITGA8 CSNK2B USP15 
RELB,28,UBC PSMB1 PSMD1 PSMD10 IL12RB1 USF1 PSMB3 IKBKG NFATC1 ADNP CCL13 PSMA5 PSMD4 PIGR ENTPD1 JUN PSMD8 BCL2L1 UBA3 PSMD9 PSMC2 PSMC5 TYK2 XIAP PSME3 CDKN1A PSMD13 PSMD6 
PSMB7,28,TP73 FBXL7 PSMC5 TH PSMD12 ARID3A CKS1B HHEX CUL3 GSK3B OAZ3 PSMD10 CDC6 TNFSF12 CSNK1A1 PSMC1 GPR37L1 CCNE2 CDK2 ZSWIM8 GLI2 ANAPC4 LTB MAPK6 PSMB4 GLI1 PSMD3 KLHL12 
PXN,28,ITGB3 GRB2 COL10A1 COL5A1 COL7A1 VCAM1 ITGBL1 TLN1 PRKACB COL8A2 JAK2 CSK COL1A1 RPS6KB1 ITGB2 IGF1R ITGAD MYL6 LIMS1 FN1 GNAI3 IGF1 ITGA2 COL11A2 SDC4 ELMO2 PARVB MYL6B 
ERBB2,28,HES1 GRB7 ANGPT4 ARHGEF12 DOCK7 EGFR CD44 SEMA4D RNF41 SHC1 CDK4 ETS1 BTC MAPK1 HEY1 CTNNB1 CBLB MYC PTPN18 NGF EFNA5 PIK3R3 IGF1 STAT4 UBB MAPK3 ANGPT1 SYMPK 
ZEB1,28,GAS8 FHOD1 ETV7 PRKAR1A KAT8 SPI1 UNC45A ATMIN ZFP36 ZFP62 ZNF70 TAF3 CD44 ZNF750 MAX ZC3H12A ZMIZ2 IRF2 POU2F2 SYK PTEN SMAD1 CDK10 SPIB MMRN2 ZBTB32 NFATC4 NCOA3 
DCAF13,28,NIP7 RPS5 NOL12 COMMD1 UTP3 WDR43 COPS2 PWP2 COPS7B EXOSC2 DDX52 RPS7 IMP4 TGIF2 FCF1 EXOSC9 MPHOSPH10 RPS9 COPS5 NOL11 WDR75 TBL3 EMG1 NOP56 NOP14 NOL6 GPS1 RPS6 
AHCTF1,28,MAPRE1 KIF18A KIF2C DYNC1LI1 ERCC6L ZNF639 NDEL1 PDS5A CCNB2 BIRC5 KIF2A CDC42 CENPC KNTC1 SMC3 ITGB3BP DYNC1H1 STAG1 NDC1 ZWINT SMC1A BUB3 SEH1L CENPK CCNB1 AURKB INCENP CLIP1 
ACTN1,27,COL4A4 MICALL2 LPP LMO7 SSX2IP LIMS2 COL4A5 ITGA1 ITGB1 ITGA4 BCAR1 COL5A1 ITGAV ITGB7 MAGI1 COL4A2 ITGA9 CRKL ITGAE COL8A1 COL12A1 ITGB8 COL6A3 RAC1 ITGAM ITGAX ILK 
BID,27,CTSF CTSC CTSL CTSW CTSZ PIDD1 CTSV FADD CYCS ETS1 CAPN1 NMT1 FASLG TP53 CASP1 BIRC3 CTSK TRADD ATM CTSO MADD CASP10 CTSS BCL2L1 CFLAR GSN FAS 
MRPS16,27,MRPS23 MRPL55 TUFM MRPL37 MRPS18C MRPL19 MRPL20 MRPS25 MRPL48 MRPL54 MRPL46 ERAL1 MRPL4 MRPL13 MRPL16 PTCD3 MRPS7 MRPS14 MRPS31 MRPL30 MRPL50 MRPL53 MRPL43 MRPL41 MRPS34 MRPS28 MRPS15 
RANBP2,27,AGO2 CENPP CENPF KPNB1 ERCC6L NEK9 PDS5A DYNC1LI1 SUMO4 FIP1L1 SRSF6 NSL1 HNRNPC GEMIN4 RANGAP1 SRSF7 ZW10 CENPK SKA1 NUP43 GEMIN6 CENPI CCNB1 UPF3B SMC1A CENPU DYNC1LI2 
RAP1A,27,GARNL3 SIPA1L1 RASGRP2 RAP1GAP RAPGEF5 RAPGEF6 ARAP3 CTNNA1 SIPA1L2 RAPGEF2 DOK4 DAB1 YWHAB MAPK1 RAPGEF1 ARAP1 FN1 NGF MET VAV3 NTRK2 MAP2K3 DOCK4 TLN1 RASGRP4 CDC42 PIK3R3 
PIK3CA,27,GP5 IFNGR2 NRG4 IL13 IL2RB IL1RL1 LYN CDC42 CUX1 CXCR1 CSF1R IGLV7-43 ESR1 DAPP1 NTF3 CYTH3 FGF20 PLCG2 RHOG CYTH4 INSR PIK3R2 KIF5B PTPN1 SNX33 CYTH1 KITLG 
TARDBP,27,PSMD4 PSMA5 NDUFB1 NDUFA6 HDAC6 NDUFA4L2 NDUFA11 PSMB1 PSMD9 NDUFC2 PSMC5 PSMC2 PSMD6 PSMB3 MT-ND3 MT-ND4L PSMD1 NDUFC1 NDUFAB1 PSMD13 NDUFA4 NDUFB2 NDUFB5 PSMC6 NDUFV2 NDUFS8 MT-ND6 
MRPL46,27,MRPS23 MRPS18C TUFM MRPL41 MRPL32 ERAL1 MRPS34 MRPL17 MRPL40 MRPS16 MRPL55 MRPL19 MRPS9 MRPL50 MRPS7 MRPS6 MRPL37 MRPL14 MRPL15 MRPS35 MRPL20 MRPL54 MRPL48 MRPS25 PTCD3 MRPS24 MRPS28 
DCAKD,27,MAZ SIX5 MYNN ZNF639 IRF2 ZNF318 ZNF197 MBD1 TGIF2 HIF1A BRF2 ZNF274 STAT1 ZNF263 ZHX2 ZNF207 CXXC4 E2F4 HMGN3 ETS1 ZHX1 NCOA3 MBD3 ARID2 TERF2 ZBTB11 ZC3H8 
RPS15A,27,RPS10 EIF5 RPS25 NOP58 RPL27 UTP18 UPF3A EIF1AX GRSF1 RRP7A EEF2 RPL36AL SRPRB RPL3 BYSL RSL24D1 RPL37 IMPACT RPS21 RPP25 SMG8 RPL36A TRAM1 RPSA RPL10 RPS3A TSR1 
MAPK10,27,MAP3K4 RAPGEF3 PTPRR PLA2G4E PLA2G4B PCYT1B MAPK8IP3 KRAS FOXO6 KLC1 FOS FTH1 ZNF274 RALA MAPK12 BAX KIF5B MAPK8IP1 ROR2 MAP2K6 MAP3K3 BDNF KLC2 TRAF2 GNB1 RAP1B IL1B 
SRC,27,FUNDC1 MYL12A IL33 ITGA6 IGLV2-14 TCF12 UNC5B VAV1 TRIO YAP1 ARF6 ARRB2 DCC SHB SMO PLCG1 EPHB1 EPHB3 EPHA2 DLG3 RHOA STAT1 PDGFA ROBO3 AR TNC CXCL12 
SOS1,27,IGLV2-14 AKT1 SLIT2 MUC20 PTPRA IGLV1-47 KLRC2 IL23A EPO NRG1 IGHM STAT6 IL15 IL7 SPTAN1 IGHV3-23 PRKCB SDC2 PIK3CG PRKCZ MS4A2 IL6ST HSP90AA1 ZFYVE28 AKT3 GRAP2 IL11RA 
CELSR3,27,CDH17 PCDHB2 PCDHB16 CDH13 PCDH12 PCDHA8 CDH23 MBD1 PCDHAC2 PCDHB13 PCDHGC5 PCDHGA1 CTCF PCDH18 ZHX1 PCDHB11 CTNNAL1 PCDHGA2 CDH1 PCDHB8 PCDHB1 PCDHA5 CDH15 PCDH11Y PCDHA4 PCDHB10 PCDHA1 
GTF2F1,27,CSTF3 TUBGCP2 RANBP1 CPSF7 CLP1 NELFCD UPF3B TAF9B CWC15 PRPF3 SF3B5 PPIE CTDP1 RAB3IL1 SNRPD1 EAF2 SF3B6 ELAVL1 IWS1 HNRNPR PQBP1 PRPF31 SSU72 CHERP SYMPK POLR2G PPWD1 
RLIM,27,FBXO17 RNF217 HECTD2 UBC FBXO21 FBXL14 FBXO7 FBXW4 TRIM69 RBX1 TRIP12 FBXO41 FBXO44 FBXL20 MYLIP FBXO9 RNF114 FBXL19 FBXO10 FBXW7 HERC5 UNKL ZNRF1 FBXW2 SMURF2 FBXO15 NEDD4L 
EFNB2,27,EPHA1 EPHA10 RAC1 EPHA3 MAP2K1 EPHA4 GIT1 SDCBP DNM1 EFNB1 MYL12A CRK PAK3 EFNA1 CDC42 RRAS AP2A2 EPHA7 MMP2 FYN EFNA4 EPHB4 KRAS AP2S1 AP2M1 RGS3 PAK1 
FOXO6,27,SETD7 PLK3 PLK2 NLK USP7 STK4 SGK3 SGK2 SGK1 RAG1 FBXO32 CAT BCL2L11 CCNG2 CCNB3 CCNB1 ATG12 CSNK1E MAPK10 MAPK3 BNIP3 PRKAA2 FBXO25 CCNB2 SIRT3 CCND2 KLF2 
IGKV1-39,27,ELMO2 C4A IGKV1-17 FCGR2B LAT2 C1QA IGHV3-30 C4B BLNK IGHV1-69 IGHV2-70 PIK3R1 VAV1 PLCG1 IGLV2-8 ARPC1A SERPING1 IGKV4-1 GRAP2 IGHV2-5 IGHV4-39 IGHV4-59 IGHG3 GRB2 C1S PLCG2 IGHG4 
EIF1AX,27,RPL14 RPS7 EIF3CL EIF3G RPL41 RPL22 RPL21 EIF5 RPS15A RPL39 EIF3D RPL36A RPS4Y1 RPL30 EIF4G1 RPL6 EIF2S3 FAU RPS29 RPL3 RPL23A RPL31 RPS5 RPS21 RPLP2 RPS6 RPS9 
MYH2,27,ARPC1A ITGB1 ACTR1B IGHV2-70 CD247 IGLV2-8 IGHV7-81 IGKV4-1 FCGR2A ACTG2 ACTC1 ACTA1 ACTA2 ACTR1A IGHV3-30 IGLV3-25 FN1 IGKV5-2 IGLC6 ACTB CD3G IGHV1-69 IGLV3-27 IGKV1-17 IGHV4-34 IGHV4-39 RHOA 
BARD1,27,RAD52 ATR RMI2 RFC2 TOPBP1 NBN FANCF FANCA EWSR1 BRCC3 BLM RMI1 FLI1 RAD17 RAD51D UIMC1 UBB FANCC RAD50 RTEL1 RAD9A CSTF1 PRKDC SUMO2 XRCC5 HUS1 EME1 
ATF3,27,ZNF76 ZNF507 ZNF133 WWP2 TRIAP1 RLF NFX1 MZF1 KMT2A HOXC13 GZF1 ERP29 DVL2 CACUL1 NEDD8 NCOA5 ZNF292 RRAGC CDK4 ZFP64 ATXN1L IRF9 PRAME NFKBIA SMAD3 HOXA7 ZBTB40 
FBXO44,27,COPS7B UBC FBXW4 COPS2 GPS1 FBXL20 HERC5 ZNRF1 COPS5 TRIM69 FBXL14 FBXW12 FBXO21 FBXW7 UNKL UBE2A RLIM FBXO10 FBXL19 FBXO17 RNF217 FBXL5 FBXO7 COMMD1 HECTD2 COPS7A FBXW2 
